date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
00:54:58	11441/11441	U--MCZ	200	updated ('OK')	text/html	date:Thu,%2015%20Feb%202024%2023:54:57%20GMT	https://mop-shoot.tauri.hu/?pet-ability=1232	F:/git/mop-archive.portal/mop-archive/mop-shoot.tauri.hu/index4c08.html	(from https://mop-shoot.tauri.hu/)
00:54:58	169/169	---MCZ	404	error ('Not%20Found')	text/html	date:Thu,%2015%20Feb%202024%2023:54:57%20GMT	https://mop-shoot.tauri.hu/templates/wowhead/images/sockets/medium/socket_anim_prismatic.gif	F:/git/mop-archive.portal/mop-archive/mop-shoot.tauri.hu/templates/wowhead/images/sockets/medium/socket_anim_prismatic.gif	(from https://mop-shoot.tauri.hu/templates/wowhead/css/global.css?1520856185)
00:54:58	0/0	---MC-	302	error ('Found')	text/html	date:Thu,%2015%20Feb%202024%2023:54:57%20GMT	https://mop-shoot.tauri.hu/?account=signin	F:/git/mop-archive.portal/mop-archive/mop-shoot.tauri.hu/index4ec4.html	(from https://mop-shoot.tauri.hu/)
00:54:58	169/169	---MCZ	404	error ('Not%20Found')	text/html	date:Thu,%2015%20Feb%202024%2023:54:57%20GMT	https://mop-shoot.tauri.hu/templates/wowhead/images/sockets/small/socket_meta1.png	F:/git/mop-archive.portal/mop-archive/mop-shoot.tauri.hu/templates/wowhead/images/sockets/small/socket_meta1.png	(from https://mop-shoot.tauri.hu/templates/wowhead/css/global.css?1520856185)
00:54:58	299/299	U-----	200	untouched ('')	image/gif	etag:%2258582c2f-12b%22	https://mop-shoot.tauri.hu/templates/wowhead/images/bc_icon.gif	F:/git/mop-archive.portal/mop-archive/mop-shoot.tauri.hu/templates/wowhead/images/bc_icon.gif	(from https://mop-shoot.tauri.hu/templates/wowhead/css/global.css?1520856185)
00:54:58	169/169	---MCZ	404	error ('Not%20Found')	text/html	date:Thu,%2015%20Feb%202024%2023:54:57%20GMT	https://mop-shoot.tauri.hu/templates/wowhead/images/sockets/small/socket_meta0.png	F:/git/mop-archive.portal/mop-archive/mop-shoot.tauri.hu/templates/wowhead/images/sockets/small/socket_meta0.png	(from https://mop-shoot.tauri.hu/templates/wowhead/css/global.css?1520856185)
00:54:59	169/169	---MCZ	404	error ('Not%20Found')	text/html	date:Thu,%2015%20Feb%202024%2023:54:58%20GMT	https://mop-shoot.tauri.hu/templates/wowhead/images/sockets/small/socket_red1.png	F:/git/mop-archive.portal/mop-archive/mop-shoot.tauri.hu/templates/wowhead/images/sockets/small/socket_red1.png	(from https://mop-shoot.tauri.hu/templates/wowhead/css/global.css?1520856185)
00:54:59	613/613	U-----	200	untouched ('')	image/gif	etag:%2258582c30-265%22	https://mop-shoot.tauri.hu/templates/wowhead/images/wotlk.gif	F:/git/mop-archive.portal/mop-archive/mop-shoot.tauri.hu/templates/wowhead/images/wotlk.gif	(from https://mop-shoot.tauri.hu/templates/wowhead/css/global.css?1520856185)
00:54:59	169/169	---MCZ	404	error ('Not%20Found')	text/html	date:Thu,%2015%20Feb%202024%2023:54:58%20GMT	https://mop-shoot.tauri.hu/templates/wowhead/images/sockets/small/socket_red0.png	F:/git/mop-archive.portal/mop-archive/mop-shoot.tauri.hu/templates/wowhead/images/sockets/small/socket_red0.png	(from https://mop-shoot.tauri.hu/templates/wowhead/css/global.css?1520856185)
00:54:59	1282/1282	U-----	200	untouched ('')	image/gif	etag:%2258582c2f-502%22	https://mop-shoot.tauri.hu/templates/wowhead/images/cata.gif	F:/git/mop-archive.portal/mop-archive/mop-shoot.tauri.hu/templates/wowhead/images/cata.gif	(from https://mop-shoot.tauri.hu/templates/wowhead/css/global.css?1520856185)
